,Title,NSE,Strength,Weakness,Oppurtunity,Threat
242,IWML,IIFLWAM,"['Increasing profits every quarter for the past 2 quarters', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'High dividends, with rising dividend yields over last five years']","['Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Companies with High Debt', 'Companies with Increasing Debt', 'Low Piotroski Score : Companies with weak financials', 'Annual net profit declining for last 2 years', 'Weak Momentum: Price below Short, Medium and Long Term Averages']",['Decrease in Provision in recent results'],['Insiders sold stocks']
243,J. K. Cement,JKCEMENT,"['Strong Annual EPS Growth', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High', 'Stock gained more than 20% in one month', 'Strong Momentum: Price above short, medium and long term moving averages']","['Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Big Deal (Insider and SAST) buys last month greater than 1% of total shares', 'Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength']","['Upcoming Results for Nifty500 with Declining Share Price Over the Week', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
244,JagranPrakashan,JAGRAN,"['Bullish Harami  (Bullish Reversal)', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt']","['Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Companies with High Promoter Pledge', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']",['Turnaround companies- loss to profit QoQ'],None
245,Jai Corp,JAICORPLTD,"['Company with Low Debt', 'Company with Zero Promoter Pledge']","['High PE with Negative ROE', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 3 quarters', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Positive Breakout First Resistance ( LTP > R1)']","['Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Stocks with high PE (PE > 40)']"
246,Jamna Auto,JAMNAAUTO,"['Promoters increasing shareholding QoQ', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Book Value per share Improving for last 2 years', 'Company with decreasing Promoter pledge', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Low Piotroski Score : Companies with weak financials', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit']","['Turnaround companies- loss to profit QoQ', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength']","['Companies where promoters have increased their pledged stocks', 'Red Flag: Resignation of Top Management', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
247,JB Chemicals,JBCHEPHARM,"['High Piotroski Score - Companies with strong financials', 'Company with high TTM EPS Growth', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Increasing Revenue every quarter for the past 2 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'Positive Breakout First Resistance ( LTP > R1)', 'Highest Recovery from 52 Week Low']",['Increasing Trend in Non-Core Income']
248,Jindal (Hisar),JSLHISAR,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Book Value per share Improving for last 2 years', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years', 'Degrowth in Revenue and Profit', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Companies with High Promoter Pledge']","['Profit making Companies with High ROCE and Low PE', 'Positive Breakout Second Resistance  ( LTP > R2)', 'Turnaround companies- loss to profit QoQ', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength', 'High Volume, High Gain']",None
249,Jindal Saw,JINDALSAW,"['Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge']","['Companies with growing costs YoY for long term projects', 'MACD Crossover Below Signal Line', 'MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining profits every quarter for the past 3 quarters', 'Declining Revenue every quarter for the past 2 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'Stock with Low PE (PE < = 10)']","['Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
250,Jindal Stainles,JSL,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Book Value per share Improving for last 2 years', 'FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High', 'Stock gained more than 20% in one month', 'Strong Momentum: Price above short, medium and long term moving averages']","['Red Flag: High Interest Payments Compared to Earnings', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years', 'Degrowth in Revenue and Profit', 'Annual net profit declining for last 2 years', 'Companies with High Promoter Pledge', 'Major fall in TTM Net Profit']","['Turnaround companies- loss to profit QoQ', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']",None
251,Jindal Steel,JINDALSTEL,"['Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Strong Momentum: Price above short, medium and long term moving averages']","['Red Flag: High Interest Payments Compared to Earnings', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining profits every quarter for the past 2 quarters', 'Promoter decreasing their shareholding', 'Companies with High Promoter Pledge']","['Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']","['Profit to Loss Companies', 'Increasing Trend in Non-Core Income']"
252,JK Bank,J&KBANK,"['Rising Net Cash Flow and Cash from Operating activity', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Company with Zero Promoter Pledge']","['Red Flag: High Interest Payments Compared to Earnings', 'MFs decreased their shareholding last quarter', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']","['Turnaround companies- loss to profit QoQ', 'Decrease in NPA in recent results', 'Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)']",None
253,JK Lakshmi Cem,JKLAKSHMI,"['Company with high TTM EPS Growth', 'Strong Annual EPS Growth', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Strong Momentum: Price above short, medium and long term moving averages']",['MFs decreased their shareholding last quarter'],"['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'RSI indicating price strength']",['Increasing Trend in Non-Core Income']
